中央機關辦理國家賠償事件收結情形表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
填報期間 :  105   年  1 月至 6  月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"項目別
(中央機關)",總,新收案件數B,"(含舊案)
未結案件數
","未結
案件數",,已結案件數E,"協議階段件數
G=(H+I+J+K+L)",,,,,,"訴訟階段件數
M=(N+O+P+Q+R+S)",,,,,,,,賠償情形,,,,,,"第2條賠償W
依國家賠償法","第3條賠償X
依國家賠償法",行使求償權,,,
,件,,,"(含在處理中)
協議中D",訴訟中E,,計G,成立H,不成立I,拒絕賠償J,撤回K,其他L,計M,勝訴N,敗訴O,"一部勝訴
一部敗訴P",,法院和解Q,駁回R,其他S,"賠償
總計T
T=(U+V)",,"協議
成立賠
償U",,"判決
確定賠
償V",,,,求償Y,,獲償Z,
,數,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,件,件,件,件,件,件,件,件,件,件,件,件,件,件,件,件,,件,件,件,件,元,件,元,件,元,件,件,件,元,件,元
總 計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,0 ,0 
總統府,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行政院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
司法院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
立法院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
考試院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
監察院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
內政部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
外交部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國防部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
財政部,33 ,13 ,26 ,7 ,19 ,7 ,4 ,0 ,0 ,4 ,0 ,0 ,3 ,1 ,0 ,0 ,,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
教育部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
經濟部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交通部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
法務部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國家安全會議,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蒙藏委員會,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
僑務委員會,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
衛生福利部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行政院環境保護署,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行政院海岸巡防署,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行政院大陸委員會,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國家發展委員會,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金融監督管理委員會,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"國軍退除役官
兵輔導委員會",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行政院原子能委員會,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
科技部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行政院農業委員會,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文化部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
勞動部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行政院公共工程委員會,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
原住民族委員會,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飛航安全調查委員會,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
客家委員會,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中央選舉委員會,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公平交易委員會,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國家通訊傳播委員會,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中央銀行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
國立故宮博物院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行政院主計總處,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行政院人事行政總處,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臺灣省政府,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福建省政府,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               連絡電話：   02-23228291                                填表人：法制處秘書 吳祥豪          (請簽章)  審核主管： 法制處處長彭英偉              (請簽章)   填報機關：財政部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
填表說明：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一、本報表每年度填報2次：上半年度填報係指1月至6月新收總件數；全年度填報係指1月至12月新收總件數。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
二、總件數(A)：指每年上半年度或全年度國家賠償案件之總件數，包括未結案件數(C)及已結案件數(F)。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三、新收案件數(B)：指請求權人提出國家賠償案件之總件數(包括請求協議及提起訴訟)。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、未結案件數(含舊案)(C)：累計每年至6月30日或12月31日止之國家賠償案件數，包括協議中（含在處理中）(D)及訴訟中(E)。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"五、已結案件數(F)：係指於每年6月30日或12月31日止已處理完畢之案件數，包括協議階段(G)及訴訟階段(M)。除協議成立者外，於協議後提起訴訟者，分別於協議階段及訴訟階段計算件數。



     ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          訴訟階段計算件數。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
六、已結案之協議件數(G)：係指賠償義務機關於每年6月30日或12月31日止已與請求權人進行協議之國家賠償事件件數（含協議成立(H)、不成立(I)、拒絕賠償(J)、撤回,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (K)、其他(L)等，該拒絕賠償(J)包含未經協議逕行拒絕賠償。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
七、已結案之訴訟件數(M)：係指賠償義務機關於每年6月30日或12月31日止已與請求權人進行訴訟之國家賠償事件 (含勝訴(N)、敗訴(O)、一部勝訴一部敗訴(P)、法院和解(Q)、駁回(R)、,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Q)、駁回(R)、 其他(S)等）。另同一事實繫屬法院訴訟階段，縱提起上訴，仍僅以一件為其件數，請勿重複。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
八、賠償總計(T)：係指於每年6月30日或12月31日止已協議成立賠償(U)之件數、金額，及已判決確定賠償(V)之件數、金額，均以撥款日為基準。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    例一：甲機關與某乙於101年6月10日達成賠償協議，經主管機關於同年6月30日(發文日期)辦理撥款，則應屬101年度上半年協議成立之國賠事件。反之，如主管機關為7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    月3日辦理撥款應屬101年下半年協議成立之事件。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    例二：一國賠事件經法院於101年12月判決確定，如撥款日期為102年1月，仍應列入102年上半年判決賠償之國賠事件。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    同一事實如有數被害人，經賠償義務機關分別與之達成協議，並經主管機關分別撥款，仍屬數國賠事件，並以撥款次數為其件數。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
九、依國家賠償法第2條賠償(W)：係指於每年6月30日或12月31日止已依第2條協議成立或判決確定賠償之案件數。        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
十、依國家賠償法第3條賠償(X)：係指於每年6月30日或12月31日止已依第3條協議成立或判決確定賠償之案件數。(註：(W)+(X)件數總和亦會等於(T)之件數)。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
十一、行使求償權/求償(Y)：係指賠償義務機關賠償後，於本填報期間內確定發生之求償總件數及應求償之總金額。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
十二、行使求償權/獲償(Z)：係指賠償義務機關於本填報期間內實際獲得求償收入之件數及金額。採分期獲償者，以辦理繳庫作業次數計算件數。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
