SiteId,SiteName,Rainfall24hr,DataSourceAgency,MonitorDate
83,麥寮,2,行政院環保署,2016-11-30
83,麥寮,0,行政院環保署,2016-11-29
83,麥寮,0,行政院環保署,2016-11-28
83,麥寮,20.8,行政院環保署,2016-11-27
83,麥寮,0.6,行政院環保署,2016-11-26
83,麥寮,0,行政院環保署,2016-11-25
83,麥寮,0,行政院環保署,2016-11-24
83,麥寮,22.4,行政院環保署,2016-11-23
83,麥寮,0.6,行政院環保署,2016-11-22
83,麥寮,0,行政院環保署,2016-11-21
83,麥寮,0.2,行政院環保署,2016-11-20
83,麥寮,0,行政院環保署,2016-11-19
83,麥寮,0,行政院環保署,2016-11-18
83,麥寮,0,行政院環保署,2016-11-17
83,麥寮,0,行政院環保署,2016-11-16
83,麥寮,0,行政院環保署,2016-11-15
83,麥寮,0,行政院環保署,2016-11-14
83,麥寮,0,行政院環保署,2016-11-13
83,麥寮,0,行政院環保署,2016-11-12
83,麥寮,0,行政院環保署,2016-11-11
83,麥寮,1.2,行政院環保署,2016-11-10
83,麥寮,0,行政院環保署,2016-11-9
83,麥寮,0,行政院環保署,2016-11-8
83,麥寮,0,行政院環保署,2016-11-7
83,麥寮,0,行政院環保署,2016-11-6
83,麥寮,0,行政院環保署,2016-11-5
83,麥寮,0,行政院環保署,2016-11-4
83,麥寮,0,行政院環保署,2016-11-3
83,麥寮,0,行政院環保署,2016-11-2
83,麥寮,0,行政院環保署,2016-11-1
80,關山,9,行政院環保署,2016-11-30
80,關山,0.2,行政院環保署,2016-11-29
80,關山,1.4,行政院環保署,2016-11-28
80,關山,81.6,行政院環保署,2016-11-27
80,關山,8.6,行政院環保署,2016-11-26
80,關山,0.2,行政院環保署,2016-11-25
80,關山,0,行政院環保署,2016-11-24
80,關山,3.4,行政院環保署,2016-11-23
80,關山,5.6,行政院環保署,2016-11-22
80,關山,4,行政院環保署,2016-11-21
80,關山,30,行政院環保署,2016-11-20
80,關山,0,行政院環保署,2016-11-19
80,關山,0,行政院環保署,2016-11-18
80,關山,0,行政院環保署,2016-11-17
80,關山,1.4,行政院環保署,2016-11-16
80,關山,0,行政院環保署,2016-11-15
80,關山,0,行政院環保署,2016-11-14
80,關山,0,行政院環保署,2016-11-13
80,關山,0,行政院環保署,2016-11-12
80,關山,0,行政院環保署,2016-11-11
80,關山,0,行政院環保署,2016-11-10
80,關山,0,行政院環保署,2016-11-9
80,關山,0.6,行政院環保署,2016-11-8
80,關山,0,行政院環保署,2016-11-7
80,關山,0,行政院環保署,2016-11-6
80,關山,1,行政院環保署,2016-11-5
80,關山,30.2,行政院環保署,2016-11-4
80,關山,0,行政院環保署,2016-11-3
80,關山,0,行政院環保署,2016-11-2
80,關山,0,行政院環保署,2016-11-1
78,馬公,0.4,行政院環保署,2016-11-30
78,馬公,0,行政院環保署,2016-11-29
78,馬公,0,行政院環保署,2016-11-28
78,馬公,3.6,行政院環保署,2016-11-27
78,馬公,12.2,行政院環保署,2016-11-26
78,馬公,0,行政院環保署,2016-11-25
78,馬公,0,行政院環保署,2016-11-24
78,馬公,25.6,行政院環保署,2016-11-23
78,馬公,2.2,行政院環保署,2016-11-22
78,馬公,3.2,行政院環保署,2016-11-21
78,馬公,0,行政院環保署,2016-11-20
78,馬公,0,行政院環保署,2016-11-19
78,馬公,0,行政院環保署,2016-11-18
78,馬公,0,行政院環保署,2016-11-17
78,馬公,0.4,行政院環保署,2016-11-16
78,馬公,0,行政院環保署,2016-11-15
78,馬公,0,行政院環保署,2016-11-14
78,馬公,0,行政院環保署,2016-11-13
78,馬公,0,行政院環保署,2016-11-12
78,馬公,0,行政院環保署,2016-11-11
78,馬公,2.2,行政院環保署,2016-11-10
78,馬公,0,行政院環保署,2016-11-9
78,馬公,0,行政院環保署,2016-11-8
78,馬公,0,行政院環保署,2016-11-7
78,馬公,0,行政院環保署,2016-11-6
78,馬公,0,行政院環保署,2016-11-5
78,馬公,0,行政院環保署,2016-11-4
78,馬公,0,行政院環保署,2016-11-3
78,馬公,0,行政院環保署,2016-11-2
78,馬公,0.2,行政院環保署,2016-11-1
77,金門,0,行政院環保署,2016-11-30
77,金門,0,行政院環保署,2016-11-29
77,金門,0,行政院環保署,2016-11-28
77,金門,14.6,行政院環保署,2016-11-27
77,金門,30.6,行政院環保署,2016-11-26
77,金門,3.2,行政院環保署,2016-11-25
77,金門,0,行政院環保署,2016-11-24
77,金門,18.8,行政院環保署,2016-11-23
77,金門,17,行政院環保署,2016-11-22
77,金門,37.8,行政院環保署,2016-11-21
77,金門,4,行政院環保署,2016-11-20
77,金門,0,行政院環保署,2016-11-19
77,金門,0,行政院環保署,2016-11-18
77,金門,0,行政院環保署,2016-11-17
77,金門,0,行政院環保署,2016-11-16
77,金門,0,行政院環保署,2016-11-15
