Year,發生次數(次) / 災害別總計 ,發生次數(次) / 颱風 ,發生次數(次) / 水災 ,發生次數(次) / 地震 ,發生次數(次) / 其他 ,房屋全倒(戶) / 災害別總計 ,房屋全倒(戶) / 颱風 ,房屋全倒(戶) / 水災 ,房屋全倒(戶) / 地震 ,房屋全倒(戶) / 其他 ,房屋半倒(戶) / 災害別總計 ,房屋半倒(戶) / 颱風 ,房屋半倒(戶) / 水災 ,房屋半倒(戶) / 地震 ,房屋半倒(戶) / 其他 ,出動救災人次(人次) / 災害別總計 ,出動救災人次(人次) / 颱風 ,出動救災人次(人次) / 水災 ,出動救災人次(人次) / 地震 ,出動救災人次(人次) / 其他 ,搶救災民人數(人) / 災害別總計 ,搶救災民人數(人) / 颱風 ,搶救災民人數(人) / 水災 ,搶救災民人數(人) / 地震 ,搶救災民人數(人) / 其他 ,死亡人數(人) / 災害別總計 ,死亡人數(人) / 颱風 ,死亡人數(人) / 水災 ,死亡人數(人) / 地震 ,死亡人數(人) / 其他 ,失蹤人數(人) / 災害別總計 ,失蹤人數(人) / 颱風 ,失蹤人數(人) / 水災 ,失蹤人數(人) / 地震 ,失蹤人數(人) / 其他 ,受傷人數(人) / 災害別總計 ,受傷人數(人) / 颱風 ,受傷人數(人) / 水災 ,受傷人數(人) / 地震 ,受傷人數(人) / 其他 
89年,11,6,2,2,1,434,434,          -,          -,          -,"1,725","1,725",          -,          -,          -,"97,087","90,168","1,804","5,100",15,293,          -,293,          -,          -,93,78,6,5,4,33,32,1,          -,          -,232,178,6,48,          -
90年,9,8,          -,1,          -,646,646,          -,          -,          -,"1,978","1,978",          -,          -,          -,"37,496","37,243",          -,253,          -,"2,472","2,472",          -,          -,          -,225,225,          -,          -,          -,129,129,          -,          -,          -,588,585,          -,3,          -
91年,4,3,          -,1,          -,          -,          -,          -,          -,          -,160,          -,          -,160,          -,"23,555","22,235",          -,"1,320",          -,"6,443","5,962",          -,481,          -,10,5,          -,5,          -,1,1,          -,          -,          -,281,12,          -,269,          -
92年,8,7,          -,1,          -,          -,          -,          -,          -,          -,          -,          -,          -,          -,          -,"5,165","5,087",          -,78,          -,277,277,          -,          -,          -,6,6,          -,          -,          -,1,1,          -,          -,          -,20,5,          -,15,          -
93年,12,9,2,1,          -,376,342,34,          -,          -,154,44,110,          -,          -,"239,653","105,928","133,667",58,          -,"13,011","6,468","6,543",          -,          -,60,27,31,2,          -,34,22,12,          -,          -,525,504,20,1,          -
94年,6,4,2,          -,          -,27,27,          -,          -,          -,143,142,1,          -,          -,"77,542","61,517","16,025",          -,          -,"3,849","2,323","1,526",          -,          -,41,19,22,          -,          -,8,4,4,          -,          -,152,145,7,          -,          -
95年,9,5,2,2,          -,60,2,41,17,          -,43,13,19,11,          -,"54,373","48,953","4,586",834,          -,836,209,615,12,          -,9,3,4,2,          -,4,          -,4,          -,          -,87,6,2,79,          -
96年,9,6,2,          -,1,54,4,50,          -,          -,85,85,          -,          -,          -,"161,721","153,547","8,083",          -,91,"1,808","1,049",755,          -,4,21,13,5,          -,3,3,3,          -,          -,          -,153,148,1,          -,4
97年,12,6,6,          -,          -,66,66,          -,          -,          -,17,17,          -,          -,          -,"198,172","193,774","4,398",          -,          -,"2,644","2,272",372,          -,          -,42,31,11,          -,          -,14,11,3,          -,          -,105,100,5,          -,          -
98年,6,3,1,2,          -,99,99,          -,          -,          -,250,250,          -,          -,          -,"581,555","579,767","1,782",6,          -,"63,814","63,814",          -,          -,          -,644,644,          -,          -,          -,60,60,          -,          -,          -,"1,560","1,557",          -,3,          -
99年,15,5,8,1,1,233,          -,26,207,          -,159,79,79,1,          -,"218,126","121,603","82,949",974,"12,600","13,598","5,800","7,730",68,          -,44,2,38,          -,4,1,          -,1,          -,          -,231,63,96,72,          -
100年,12,5,5,1,1,          -,          -,          -,          -,          -,11,11,          -,          -,          -,"51,094","48,959","1,407",          -,728,"4,807","3,890",338,          -,579,          -,          -,          -,          -,          -,          -,          -,          -,          -,          -,2,2,          -,          -,          -
101年,19,7,11,          -,1,16,15,1,          -,          -,130,129,1,          -,          -,"175,865","148,014","27,549",          -,302,"10,092","8,717","1,375",          -,          -,19,8,9,          -,2,1,          -,          -,          -,1,40,27,10,          -,3
102年,9,6,1,2,          -,9,7,          -,2,          -,65,65,          -,          -,          -,"131,447","129,037","1,731",679,          -,"4,450","4,171",          -,279,          -,14,9,          -,5,          -,          -,          -,          -,          -,          -,280,163,          -,117,          -
103年,          -,3,          -,          -,          -,7,7,          -,          -,          -,61,61,          -,          -,          -,"46,753","46,753",          -,          -,          -,674,674,          -,          -,          -,1,1,          -,          -,          -,          -,          -,          -,          -,          -,27,27,          -,          -,          -
