CityID,City,TownID,TownName,TotalEvent,CrimeRate,OffenseClearedNumber,ClearanceRate,Offenders,OffenderRate ,Year
63000,臺北市,63000010,松山區,391,186.11,310,79.28,214,101.86,2015
63000,臺北市,63000020,信義區,665,289.84,520,78.2,343,149.5,2015
63000,臺北市,63000030,大安區,642,204.87,541,84.27,319,101.79,2015
63000,臺北市,63000040,中山區,749,324.35,637,85.05,378,163.69,2015
63000,臺北市,63000050,中正區,535,328.36,538,100.56,342,209.9,2015
63000,臺北市,63000060,大同區,436,332.95,355,81.42,253,193.2,2015
63000,臺北市,63000070,萬華區,754,387.61,653,86.6,408,209.74,2015
63000,臺北市,63000080,文山區,371,135.08,347,93.53,271,98.67,2015
63000,臺北市,63000090,南港區,260,213.55,232,89.23,133,109.24,2015
63000,臺北市,63000100,內湖區,423,147.56,375,88.65,286,99.77,2015
63000,臺北市,63000110,士林區,509,175.17,388,76.23,251,86.38,2015
63000,臺北市,63000120,北投區,515,199.85,436,84.66,268,104,2015
63000,臺北市,63000010,松山區,467,221.95,345,73.88,214,101.71,2014
63000,臺北市,63000020,信義區,727,317.36,470,64.65,345,150.6,2014
63000,臺北市,63000030,大安區,759,242.08,639,84.19,395,125.99,2014
63000,臺北市,63000040,中山區,736,320.52,502,68.21,276,120.2,2014
63000,臺北市,63000050,中正區,703,430.59,606,86.2,341,208.86,2014
63000,臺北市,63000060,大同區,448,343.57,293,65.4,217,166.42,2014
63000,臺北市,63000070,萬華區,937,482.75,730,77.91,448,230.81,2014
63000,臺北市,63000080,文山區,412,151.12,372,90.29,247,90.6,2014
63000,臺北市,63000090,南港區,239,198.33,169,70.71,100,82.98,2014
63000,臺北市,63000100,內湖區,499,175.52,448,89.78,326,114.67,2014
63000,臺北市,63000110,士林區,787,271.29,451,57.31,238,82.04,2014
63000,臺北市,63000120,北投區,529,206.25,331,62.57,214,83.44,2014
63000,臺北市,63000010,松山區,527,250.21,422,80.08,245,116.32,2013
63000,臺北市,63000020,信義區,882,386.65,561,63.61,388,170.09,2013
63000,臺北市,63000030,大安區,947,302.18,889,93.88,433,138.16,2013
63000,臺北市,63000040,中山區,776,340.79,593,76.42,326,143.17,2013
63000,臺北市,63000050,中正區,695,427.31,571,82.16,332,204.12,2013
63000,臺北市,63000060,大同區,539,416.81,321,59.55,252,194.87,2013
63000,臺北市,63000070,萬華區,995,515.4,711,71.46,406,210.3,2013
63000,臺北市,63000080,文山區,468,173.12,356,76.07,225,83.23,2013
63000,臺北市,63000090,南港區,300,251.84,197,65.67,109,91.5,2013
63000,臺北市,63000100,內湖區,469,166.65,400,85.29,260,92.38,2013
63000,臺北市,63000110,士林區,857,296.21,431,50.29,270,93.32,2013
63000,臺北市,63000120,北投區,597,234.28,407,68.17,206,80.84,2013
63000,臺北市,63000010,松山區,679,322.68,569,83.8,226,107.4,2012
63000,臺北市,63000020,信義區,969,426.61,628,64.81,346,152.33,2012
63000,臺北市,63000030,大安區,1238,394.73,1183,95.56,411,131.04,2012
63000,臺北市,63000040,中山區,888,394,680,76.58,235,104.27,2012
63000,臺北市,63000050,中正區,876,541.4,838,95.66,378,233.62,2012
63000,臺北市,63000060,大同區,669,523.78,477,71.3,252,197.3,2012
63000,臺北市,63000070,萬華區,1204,627.93,798,66.28,429,223.74,2012
63000,臺北市,63000080,文山區,570,212.79,464,81.4,265,98.93,2012
63000,臺北市,63000090,南港區,347,295.8,203,58.5,117,99.74,2012
63000,臺北市,63000100,內湖區,579,208.39,455,78.58,282,101.5,2012
63000,臺北市,63000110,士林區,1044,362.52,582,55.75,300,104.17,2012
63000,臺北市,63000120,北投區,599,236.53,567,94.66,236,93.19,2012
63000,臺北市,63000010,松山區,789,377.17,659,83.52,191,91.3,2011
63000,臺北市,63000020,信義區,1101,487.56,610,55.4,246,108.94,2011
63000,臺北市,63000030,大安區,1331,425.64,942,70.77,352,112.57,2011
63000,臺北市,63000040,中山區,1074,483.54,637,59.31,294,132.36,2011
63000,臺北市,63000050,中正區,979,610,765,78.14,252,157.02,2011
