Time,CityName,TownName,Type
1050111,臺北市,士林區,住宅竊盜
1050112,臺北市,士林區,住宅竊盜
1050121,臺北市,士林區,住宅竊盜
1050126,臺北市,士林區,住宅竊盜
1050128,臺北市,士林區,住宅竊盜
1050205,臺北市,士林區,住宅竊盜
1050210,臺北市,士林區,住宅竊盜
1050210,臺北市,士林區,住宅竊盜
1050212,臺北市,士林區,住宅竊盜
1050220,臺北市,士林區,住宅竊盜
1050303,臺北市,士林區,住宅竊盜
1050305,臺北市,士林區,住宅竊盜
1050311,臺北市,士林區,住宅竊盜
1050311,臺北市,士林區,住宅竊盜
1050314,臺北市,士林區,住宅竊盜
1050316,臺北市,士林區,住宅竊盜
1050321,臺北市,士林區,住宅竊盜
1050323,臺北市,士林區,住宅竊盜
1050106,臺北市,士林區,機車竊盜
1050117,臺北市,士林區,機車竊盜
1050119,臺北市,士林區,機車竊盜
1050209,臺北市,士林區,機車竊盜
1050210,臺北市,士林區,機車竊盜
1050212,臺北市,士林區,機車竊盜
1050212,臺北市,士林區,機車竊盜
1050212,臺北市,士林區,機車竊盜
1050227,臺北市,士林區,機車竊盜
1050227,臺北市,士林區,機車竊盜
1050229,臺北市,士林區,機車竊盜
1050306,臺北市,士林區,機車竊盜
1050307,臺北市,士林區,機車竊盜
1050307,臺北市,士林區,機車竊盜
1050310,臺北市,士林區,機車竊盜
1050315,臺北市,士林區,機車竊盜
1050316,臺北市,士林區,機車竊盜
1050322,臺北市,士林區,機車竊盜
1050330,臺北市,士林區,機車竊盜
1050331,臺北市,士林區,機車竊盜
1050101,臺北市,士林區,毒品
1050103,臺北市,士林區,毒品
1050105,臺北市,士林區,毒品
1050106,臺北市,士林區,毒品
1050106,臺北市,士林區,毒品
1050109,臺北市,士林區,毒品
1050113,臺北市,士林區,毒品
1050114,臺北市,士林區,毒品
1050115,臺北市,士林區,毒品
1050119,臺北市,士林區,毒品
1050119,臺北市,士林區,毒品
1050120,臺北市,士林區,毒品
1050125,臺北市,士林區,毒品
1050125,臺北市,士林區,毒品
1050127,臺北市,士林區,毒品
1050127,臺北市,士林區,毒品
1050201,臺北市,士林區,毒品
1050201,臺北市,士林區,毒品
1050202,臺北市,士林區,毒品
1050202,臺北市,士林區,毒品
1050210,臺北市,士林區,毒品
1050211,臺北市,士林區,毒品
1050216,臺北市,士林區,毒品
1050221,臺北市,士林區,毒品
1050221,臺北市,士林區,毒品
1050222,臺北市,士林區,毒品
1050226,臺北市,士林區,毒品
1050226,臺北市,士林區,毒品
1050227,臺北市,士林區,毒品
1050228,臺北市,士林區,毒品
1050307,臺北市,士林區,毒品
1050309,臺北市,士林區,毒品
1050315,臺北市,士林區,毒品
1050316,臺北市,士林區,毒品
1050316,臺北市,士林區,毒品
1050318,臺北市,士林區,毒品
1050318,臺北市,士林區,毒品
1050324,臺北市,士林區,毒品
1050329,臺北市,士林區,毒品
1050331,臺北市,士林區,毒品
1050331,臺北市,士林區,毒品
1050112,臺北市,士林區,汽車竊盜
1050120,臺北市,士林區,汽車竊盜
1050224,臺北市,士林區,汽車竊盜
1050413,臺北市,士林區,住宅竊盜
1050414,臺北市,士林區,住宅竊盜
1050416,臺北市,士林區,住宅竊盜
1050510,臺北市,士林區,住宅竊盜
1050514,臺北市,士林區,住宅竊盜
1050522,臺北市,士林區,住宅竊盜
1050602,臺北市,士林區,住宅竊盜
1050605,臺北市,士林區,住宅竊盜
1050606,臺北市,士林區,住宅竊盜
